,,,,,,,
                   GENERAL STORE.,,,,,,,
,,,,,,,
,DEY ITEMS,QTY AT HAND,PER UNIT,UNIT PRICE,AMOUNT ,CLOSING STOCK VALUE,REMARK
,RICE (GUEST) *50kg, kg,,,,,
,WHEAT *2kg,kg,,,,,
,POUNDO YAM *2kg,pack,,,,,
,AMA WONDA,pcs,,,,,
,SPAGHETTI ,pack,,,,,
,TAKE-AWAY LEATHER BIG,pack,,,,,
,SEMOLINA *10kg,kg,,,,,
,KNORR CUBE ,pack,,,,,
,CURRY POWDER,pcs,,,,,
,OYSTER SAUCE,btts,,,,,
,SARDINE,pcs,,,,,
,BAMA (MAYONNAISE),btts,,,,,
,GREENT TEA,pack,,,,,
,PORTION LEATHER,pack,,,,,
,SUGAR (INDUSTRIAL),kg,,,,,
,TUNA FISH,pcs,,,,,
,LIPTON TEA ,pack,,,,,
,IRON SPONGE,pcs,,,,,
,CLING FILM,pcs,,,,,
,MACARONI,pack,,,,,
,FOIL PAPER,pcs,,,,,
,POWDER MILK,kg,,,,,
,TOMATO-KETCH-UP,btts,,,,,
,SWEET CORN,pcs,,,,,
,SATCHET MILO,pcs,,,,,
,ONGA STEW,pcs,,,,,
,FARROW PEARS,pcs,,,,,
,MATCHES ,pack,,,,,
,SWEET,pcs,,,,,
,HONEY,pcs,,,,,
,BAHED BEANS,pcs,,,,,
,TAKE AWAY LEATHER BIG,pack,,,,,
,SALT,pcs,,,,,
,SACHET SUGAR,pack,,,,,
,MIXED FRUIT,pack,,,,,
,SACHET MILK ,pcs,,,,,
,TAKE AWAY PACK,pcs,,,,,
,NESCAFE SACHET *150pcs,pcs,,,,,
,COCONUT SACHET,pcs,,,,,
,TIN TOMATOES,pcs,,,,,
,VEGETABLE OIL,litr,,,,,
,DANICA CUISINE,pcs,,,,,
,COCONUT POWER,pack,,,,,
,FOOD COLOUR,pcs,,,,,
,STRAW,pack,,,,,
,TAKE AWAY SPOON,pack,,,,,
,PENNE BARRILLA,pack,,,,,
,THYME,pcs,,,,,
,NUT MEGG,pcs,,,,,
,CAKE CUP,pcs,,,,,
,FLAVOUR,pack,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,HOUSEKEEPING/LAUNDRY DEPARTMENT,,,,,,
61,LAUNDRY NYLON BIG,pcs,,,,,
62,LAUNDRY NYLON SMALL,pcs,,,,,
63,STAIN REMOVAL,litr,,,,,
64,GABBAGE BAG ,pcs,,,,,
65,LAUNDRY LEATHER COAT,pack,,,,,
66,INSCET KILLER,pcs,,,,,
67,HYDRO B, litr,,,,,
68,OIL & GREASE REMOVAL, litr,,,,,
69,HYPO BLEACH *1 ltr, litr,,,,,
70,AIRFRESHNER ,pcs,,,,,
71,ARIEL DETERGENT *800g , packs,,,,,
72,HARPIC, pcs,,,,,
73,INDUSTRIAL HAND GLOVE,pack,,,,,
74,BODY LOTION,pcs,,,,,
75,SPRAY STARCH ,pcs,,,,,
76, LIQUID SOAP,litr,,,,,
77,BATH GEL,pcs,,,,,
78,MR.SHEEN,pcs,,,,,
79,GUEST BATH SOAP SEPTOL,pcs,,,,,
80,SHAMPO,pcs,,,,,
81,HAND WASH,pcs,,,,,
83,WINDOLINE,pcs,,,,,
84,NOSE MASK,pack,,,,,
85,COAL WATER STARCH,pcs,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,STAFF MEAL (FOOD),,,,,,
82,EGUSI,mud,,,,,
83,KNOOR MAGGI,pcs,,,,,
84,CRAY FISH,mud,,,,,
85,BEANS,kg,,,,,
86,CRON,mud,,,,,
87,RED OIL,btts,,,,,
88,GARRI,kg,,,,,
89,RICE *50 kg,kg,,,,,
90,ALEBO,mud,,,,,
91,KPOMO,pcs,,,,,
92,STOCK FISH HEAD,pcs,,,,,
,,,,,,,
,STATIONERIES,,,,,,
90,A4 PAPER ,rm,,,,,
91,A4 SIZE BROWN ENVELOPS,pcs,,,,,
92,HARD COVER NOTESBOOK,pcs,,,,,
93,POS PAPER ,pcs,,,,,
94,OFFICE FILE,pcs,,,,,
95,THERMAL PAPER (PRINTING),pcs,,,,,
96,STAPLING PIN,pack,,,,,
97,RUBBER RING,pack,,,,,
,,,,,,,
,,,,,,,
,KITCHEN CONSUMABE,,,,,,
,,,,,,,
,RESTAURANT,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,MAIN BAR WINE,,,,,,
100,LAURENT PERIER , btts,,,,,
101,LAURENT LA CURVE, btts,,,,,
105,PINK PLANTINO,btts,,,,,
106,CAMPARI,btts,,,,,
107,SHAKE SPEAR,btts,,,,,
112,OSTER ,btts,,,,,
113,SAN SIMON CASTILLO,btts,,,,,
114,MUSCADO ,btts,,,,,
120,J. C. LERUS,btts,,,,,
121,PATAGON,btts,,,,,
122,BLACK LABEL,btts,,,,,
124,ANDRE ROSE,btts,,,,,
125,ANDRE BRUT,btts,,,,,
126,BAILEY,btts,,,,,
127,MALIBU ,btts,,,,,
120,GORDON GIN,btts,,,,,
121,CALYPSO GIN,btts,,,,,
122,HENNESSY V S ,btts,,,,,
123,HENNESSY V S O P,btts,,,,,
124,AGOR WINE,btts,,,,,
125,BARON ROMOR,btts,,,,,
126,CHAMDOR ,btts,,,,,
127,CARLO ROSSI RED,btts,,,,,
128,CARLO ROSSI WHITER,btts,,,,,
129,DON PERIGNON,btts,,,,,
130,EVE WINE,btts,,,,,
133,J $ W WINE,btts,,,,,
134,JAMESON GREEN,btts,,,,,
136,B&G WINE,btts,,,,,
137,MOET ICE,btts,,,,,
138,MOET BRUT ,btts,,,,,
139,MOET ROSE,btts,,,,,
138,MARTINI ROSE`,btts,,,,,
140,4TH STREET,btts,,,,,
141,TEQUILA,btts,,,,,
142,APOTHIC RED,btts,,,,,
143,CASTILLO RED,btts,,,,,
144,COINTREAU,btts,,,,,
145,CONCORD BUSHMAN,btts,,,,,
146,JAGGERMEATTER,btts,,,,,
147,CASILTERO DEDKABLE,btts,,,,,
148,MACALLEN 12 YEARS,btts,,,,,
149,MACALLEN 15 YEARS,btts,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,MAIN BAR ,,,,,,
,BEERS & SOFT DRINKS,,,,,,
110,BIG STOUT,btts,,,,,
111,MEDIUM STOUT,btts,,,,,
113,DESPERADO BEER,btts,,,,,
114,BUDWEISER BEER,btts,,,,,
116,SMIRNOFF ICE,btts,,,,,
119,CAN MALT, can,,,,,
120,HERO BEER,btts,,,,,
121,HEINEKEN BEER BIG,btts,,,,,
122,TROPHY BEER,btts,,,,,
123,LEGEND BEER,btts,,,,,
124,BLACK BULLET,can,,,,,
125,DOUBLE BLACK, can,,,,,
126,FAYROUZ ,btts,,,,,
127,FANTA PET *60cl,btts,,,,,
128,COKE PET *60cl,btts,,,,,
129,SPRITE PET *60cl,btts,,,,,
134,HOLLANDIA,pack,,,,,
137,AMSTEL MALT CAN,can,,,,,
138,STAR RADDLER,btts,,,,,
142,BOTTLE WATER *75cl,btts,,,,,
143,SWAN WATER BIG,btts,,,,,
144,ORIJIN BITTERS SMALL,btts,,,,,
145,RED BULL ENERGY DRINK,can,,,,,
147,CHI-EXOTIC,pack,,,,,
148,CHIVITA,pack,,,,,
,,,,,,,
,,,,, -00 ,,
,,,,,,,
,BEVERAGES STORE,,,,,,
,SWAN WATER BIG,btts,,,,,
,SWAN WATER SMALL,btts,,,,,
,COMPLIMENTARY WATER,btts,,,,,
,4TH STREET,btts,,,,,
,CARLO ROSSI RED ,btts,,,,,
,CARLO ROSSI WHITE,btts,,,,,
,CHAMDOR ,btts,,,,,
,FOUR COUSIN RED,btts,,,,,
,FOUR COUSIN WHITE,btts,,,,,
,GORDON GIN,btts,,,,,
,TEQUILA,btts,,,,,
,LAURREN MILLESIME,btts,,,,,
,LAURREN LACUVEE,btts,,,,,
,SILK $ SPICE,btts,,,,,
,ANTARES,btts,,,,,
,MAJESTY,btts,,,,,
,SHAKE SPEARE,btts,,,,,
,J$W WINE,btts,,,,,
,MUSCADOR,btts,,,,,
,MAISON J GRANDET,btts,,,,,
,PINK PLATINO,btts,,,,,
,SECRETUM,btts,,,,,
,FREIXENET ICE,btts,,,,,
,VEUVE CLIEQUOL,btts,,,,,
,OSTER,btts,,,,,
,EVE WINE,btts,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,F $ B INVENTOR,,,,,,
1,TEA CUPS,132 PCS,,,,,
2,DINNER PLATES,97 PCS,,,,,
3,SOUP BOWL,56 Pcs,,,,,
4,SAUCER PLATES ,162 pcs,,,,,
5,SIDE PLATES,47 pcs,,,,,
6,FRUIT BOWL,7 pcs ,,,,,
7,TEA SPOONS,133 pcs,,,,,
8,PEPPER SOUP BOWL,97 pcs,,,,,
9,DINNER SPOONS,107 pcs,,,,,
10,DINNER KNIFE ,76 pcs,,,,,
11,B/B KNIFE,90 pcs,,,,,
12,DINNER FORK,55 pcs,,,,,
13,DESSERT FORK,49 pcs,,,,,
14,DINNER SPOON,107 pcs,,,,,
15,DINNER PLATES,97 pcs,,,,,
16,WATER GLASSES,12 pcs,,,,,
17,WISKY GLASS,108 pcs,,,,,
18,HIGHBALL,3 pcs,,,,,
19,CHAMPAGNE GLASS,30 pcs,,,,,
20,BEER MUG GLASS,17 pcs,,,,,
21,WINE GLASS BIG,276 pcs,,,,,
22,BRANDY WIN GLASS ,78 pcs,,,,,
23,ROUND TABLE SMALL,5 pcs,,,,,
24,SMALL OBLONG TABLE,4 pcs,,,,,
25,BIG ROUND TABLE,11 pcs,,,,,
26,WHITE CHAIR ,140 pcs,,,,,
27,YELLOW CHAIR,19 pcs,,,,,
28,RED CHAIR,100 pcs,,,,,
29,BIG OBLONG TABLE,26 pcs,,,,,
30,OBLONG SERVIND DISH,6 pcs,,,,,
31,ROUND SERVING DISH,6 pcs,,,,,
32,PEPPER SOUP POT,3 pcs,,,,,
33,BEER GLASS,222 pcs,,,,,
34,SALAD BOWL,3 pcs,,,,,
35,WINE GLASS SMALL,66 pcs,,,,,
36,SLIM GLASS,138 pcs,,,,,
37,TEA JAG,24 pcs,,,,,
38,ICE BUCKET SMALL,8 pcs,,,,,
39,BAKED BEANS BOWL,12 pcs,,,,,
40,MILK JAR,15 pcs,,,,,
41,TRAY ,21 pcs,,,,,
42,ROUND TRAY,11 pcs,,,,,
43,SUGAR BOWL,23 pcs,,,,,
44,SERVETTE HOLDER,15 pcs,,,,,
45,FOOD COVER,14 pcs,,,,,
46,WHASH HAND BOWL,15 pcs,,,,,
47,FISH PLATE,19 pcs,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,